action_ref,owner,pin_type,kind,repo_count,total_uses
browserstack/github-actions/setup-env@5962ee78f5cf0647e9ff00026c3b98c307daa251,browserstack,sha,action,1,3
snok/install-poetry@v1,snok,tag,action,3,3
deepakputhraya/action-pr-title@master,deepakputhraya,branch,action,3,3
chrnorm/deployment-action@releases/v1,chrnorm,branch,action,3,3
TimonVS/pr-labeler-action@v4,TimonVS,tag,action,3,3
jakejarvis/cloudflare-purge-action@master,jakejarvis,branch,action,1,3
release-drafter/release-drafter@v6,release-drafter,tag,action,3,3
r-lib/actions/setup-r@bd49c52ffe281809afa6f0fecbf37483c5dd0b93,r-lib,sha,action,3,3
GetTerminus/terraform-pr-commenter@v3,GetTerminus,tag,action,1,3
cycjimmy/semantic-release-action@v4,cycjimmy,tag,action,3,3
conda-incubator/setup-miniconda@v3,conda-incubator,tag,action,2,3
clowdhaus/terraform-composite-actions/pre-commit@v1.9.0,clowdhaus,tag,action,1,3
dawidd6/action-download-artifact@bf251b5aa9c2f7eeb574a96ee720e24f801b7c11,dawidd6,sha,action,3,3
eWaterCycle/setup-singularity@931d4e31109e875b13309ae1d07c70ca8fbc8537,eWaterCycle,sha,action,3,3
stefanzweifel/git-auto-commit-action@v6,stefanzweifel,tag,action,3,3
cloudflare/wrangler-action@2.0.0,cloudflare,tag,action,2,3
getsentry/action-github-app-token@v2,getsentry,tag,action,2,3
andstor/file-existence-action@v3,andstor,tag,action,3,3
softprops/action-gh-release@v2,softprops,tag,action,2,3
stefanzweifel/git-auto-commit-action@v5,stefanzweifel,tag,action,2,3
r-lib/actions/setup-r@v2,r-lib,tag,action,3,3
timerring/actions-gh-pages@v5.0.0,timerring,tag,action,3,3
qoomon/actions--create-commit@v1.2.3,qoomon,tag,action,1,3
mikefarah/yq@8bf425b4d1344db7cd469a8d10a390876e0c77fd,mikefarah,sha,action,2,3
mikepenz/release-changelog-builder-action@v5,mikepenz,tag,action,3,3
Azure/functions-action@v1,Azure,tag,action,2,3
databricks/setup-cli@2260866f83a41a2df55e1cfe7ffe038b78325bf6,databricks,sha,action,1,3
tj-actions/changed-files@v47.0.5,tj-actions,tag,action,1,3
snowflakedb/snowflake-cli-action@9227851a83e3f8f05d097aba2cca8235f180834e,snowflakedb,sha,action,1,3
trufflesecurity/trufflehog@main,trufflesecurity,branch,action,1,3
tibdex/github-app-token@v1,tibdex,tag,action,1,3
dorny/paths-filter@v4.0.1,dorny,tag,action,1,3
fitbeard/action-trigger-awx@v22.7.0,fitbeard,tag,action,2,3
tj-actions/changed-files@v44,tj-actions,tag,action,3,3
snyk/actions/dotnet@master,snyk,branch,action,2,2
snyk/actions/node@master,snyk,branch,action,2,2
snyk/actions/golang@master,snyk,branch,action,2,2
snyk/actions/maven@master,snyk,branch,action,2,2
snyk/actions/gradle@master,snyk,branch,action,2,2
snyk/actions/python@master,snyk,branch,action,2,2
clowdhaus/terraform-min-max@v1.3.1,clowdhaus,tag,action,1,2
JamesIves/github-pages-deploy-action@v4.5.0,JamesIves,tag,action,2,2
pre-commit/action@v3.0.1,pre-commit,tag,action,2,2
adamrtalbot/detect-nf-test-changes@de3c3c8e113031b4f15a3c1104b5f135e8346997,adamrtalbot,sha,action,1,2
dawidd6/action-download-artifact@f6b0bace624032e30a85a8fd9c1a7f8f611f5737,dawidd6,sha,action,2,2
ruby/setup-ruby@8aeb6ff8030dd539317f8e1769a044873b56ea71,ruby,sha,action,1,2
tj-actions/changed-files@24d32ffd492484c1d75e0c0b894501ddb9d30d62,tj-actions,sha,action,1,2
tj-actions/changed-files@v42,tj-actions,tag,action,2,2
snyk/actions/docker@master,snyk,branch,action,2,2
snyk/actions/scala@master,snyk,branch,action,2,2
snyk/actions/ruby@master,snyk,branch,action,2,2
snyk/actions/iac@master,snyk,branch,action,2,2
astral-sh/setup-uv@1e862dfacbd1d6d858c55d9b792c756523627244,astral-sh,sha,action,2,2
astral-sh/setup-uv@v3,astral-sh,tag,action,2,2
crazy-max/ghaction-import-gpg@v6,crazy-max,tag,action,1,2
snyk/actions/cocoapods@master,snyk,branch,action,2,2
fitbeard/action-trigger-awx@v24.6.3,fitbeard,tag,action,1,2
dtolnay/rust-toolchain@29eef336d9b2848a0b548edc03f92a220660cdb8,dtolnay,sha,action,1,2
pre-commit/action@v3.0.0,pre-commit,tag,action,2,2
datavisyn/github-workflows/.github/workflows/release-source.yml@main,datavisyn,branch,reusable_workflow,2,2
pre-commit/action@v2.0.3,pre-commit,tag,action,1,2
mikepenz/gradle-dependency-submission@v0.8.6,mikepenz,tag,action,2,2
haythem/public-ip@v1.2,haythem,tag,action,1,2
EdisonLabs/sns-publish-workflow-status-action@v1,EdisonLabs,tag,action,1,2
astral-sh/setup-uv@cec208311dfd045dd5311c1add060b2062131d57,astral-sh,sha,action,2,2
pnpm/action-setup@b906affcce14559ad1aafd4ab0e942779e9f58b1,pnpm,sha,action,1,2
allenevans/set-env@v2.0.1,allenevans,tag,action,1,2
prefix-dev/setup-pixi@v0.8.8,prefix-dev,tag,action,2,2
pulumi/actions@v6,pulumi,tag,action,1,2
hoverkraft-tech/compose-action@v2.3.0,hoverkraft-tech,tag,action,2,2
terraform-docs/gh-actions@main,terraform-docs,branch,action,2,2
clowdhaus/terraform-min-max@v1.3.0,clowdhaus,tag,action,1,2
clowdhaus/terraform-composite-actions/directories@v1.9.0,clowdhaus,tag,action,2,2
nf-core/tower-action@v3,nf-core,tag,action,1,2
databricks/setup-cli@v0.296.1,databricks,tag,action,2,2
zentered/bluesky-post-action@v0.0.2,zentered,tag,action,2,2
stefanzweifel/git-auto-commit-action@v5,stefanzweifel,tag,action,2,2
extractions/setup-just@v1,extractions,tag,action,2,2
stefanzweifel/git-auto-commit-action@v7,stefanzweifel,tag,action,2,2
tvdias/github-tagger@v0.0.1,tvdias,tag,action,2,2
nrwl/nx-set-shas@v2,nrwl,tag,action,2,2
dorny/test-reporter@v1,dorny,tag,action,2,2
softprops/action-gh-release@26994186c0ac3ef5cae75ac16aa32e8153525f77,softprops,sha,action,1,2
abronin/ecr-retag-action@v1,abronin,tag,action,1,2
snyk/actions/python@master,snyk,branch,action,1,2
convictional/trigger-workflow-and-wait@v1.6.5,convictional,tag,action,1,2
volta-cli/action@v1,volta-cli,tag,action,1,2
chrnorm/deployment-action@500aa6a23c81ffa1acf71072aee3cfa2cc2e556a,chrnorm,sha,action,2,2
Mattraks/delete-workflow-runs@v2,Mattraks,tag,action,2,2
release-drafter/release-drafter@v5.25.0,release-drafter,tag,action,2,2
chrnorm/deployment-status@v2,chrnorm,tag,action,1,2
databricks/setup-cli@v0.299.2,databricks,tag,action,1,2
astral-sh/setup-uv@5a095e7a2014a4212f075830d4f7277575a9d098,astral-sh,sha,action,1,2
terraform-linters/setup-tflint@v4,terraform-linters,tag,action,2,2
aquasecurity/trivy-action@0.35.0,aquasecurity,tag,action,1,2
pnpm/action-setup@v4,pnpm,tag,action,1,2
astral-sh/setup-uv@caf0cab7a618c569241d31dcd442f54681755d39,astral-sh,sha,action,1,2
chartboost/ruff-action@v1,chartboost,tag,action,2,2
AButler/upload-release-assets@v2.0,AButler,tag,action,2,2
peter-evans/find-comment@3eae4d37986fb5a8592848f6a574fdf654e61f9e,peter-evans,sha,action,1,2
dorny/paths-filter@v3,dorny,tag,action,2,2
tj-actions/changed-files@24d32ffd492484c1d75e0c0b894501ddb9d30d62,tj-actions,sha,action,2,2
tj-actions/changed-files@2d756ea4c53f7f6b397767d8723b3a10a9f35bf2,tj-actions,sha,action,1,2
peter-evans/create-pull-request@v6,peter-evans,tag,action,1,2
peter-evans/find-comment@v3,peter-evans,tag,action,1,2
appany/helm-oci-chart-releaser@v0.4.2,appany,tag,action,1,2
eWaterCycle/setup-apptainer@v2,eWaterCycle,tag,action,2,2
