action_ref,owner,pin_type,is_vetted,kind,repo_count,total_uses
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_tag-validation.yml@5edf5bd9221a7706d3902a342e638becd7b6542f,pfizer-analytics,sha,true,reusable_workflow,2,4
actions/cache@v5,actions,tag,true,action,3,4
./.github/workflows/snowflake-deploy.yml,,local,true,reusable_workflow,1,4
pfizer-github-automation/sonar-scan-action@v1.3.0,pfizer-github-automation,tag,true,action,2,4
peter-evans/create-pull-request@v7,peter-evans,tag,false,action,3,4
crazy-max/ghaction-docker-meta@v1,crazy-max,tag,false,action,2,4
actions/configure-pages@v5,actions,tag,true,action,3,4
./.github/git-diff-matrix,,local,true,action,1,4
databricks/setup-cli@9925cdb329614cccdba6f9a847ae9c095db12b13,databricks,sha,false,action,2,4
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_snowflake-deploy.yml@d06d20ed79126c45d2f84124e85c1d397007296b,pfizer-analytics,sha,true,reusable_workflow,1,4
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_snowflake-deploy.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,1,4
actions/setup-node@v5,actions,tag,true,action,4,4
aws-actions/amazon-ecr-login@c962da2960ed15f492addc26fffa274485265950,aws-actions,sha,true,action,2,4
pnpm/action-setup@fc06bc1257f339d1d5d8b3a19a8cae5388b55320,pnpm,sha,false,action,1,4
actions/setup-node@6044e13b5dc448c55e2357c09f80417699197238,actions,sha,true,action,1,4
azure/login@v2,azure,tag,true,action,3,4
./.github/actions/assume-role,,local,true,action,1,4
./.github/workflows/_ra_cd_template_dashboard.yml,,local,true,reusable_workflow,1,4
./.github/workflows/_ra_cd_template_dashboard_table.yml,,local,true,reusable_workflow,1,4
./.github/workflows/_ra_cd_template_dynamic_overview.yml,,local,true,reusable_workflow,1,4
./.github/workflows/_ra_cd_template_evaluation_metrics.yml,,local,true,reusable_workflow,1,4
./.github/workflows/_ra_cd_template_vector_index.yml,,local,true,reusable_workflow,1,4
actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions,sha,true,action,2,4
hashicorp/setup-terraform@b9cd54a3c349d3f38e8881555d616ced269862dd,hashicorp,sha,true,action,1,4
astral-sh/setup-uv@38f3f104447c67c051c4a08e39b64a148898af3a,astral-sh,sha,false,action,3,4
appleboy/ssh-action@v1.2.0,appleboy,tag,false,action,1,4
pfizer-github-automation/bolt-enable-ssh-action@v1,pfizer-github-automation,tag,true,action,1,4
aws-actions/configure-aws-credentials@61815dcd50bd041e203e49132bacad1fd04d2708,aws-actions,sha,true,action,1,3
actions/github-script@v6,actions,tag,true,action,3,3
actions/setup-dotnet@v1,actions,tag,true,action,3,3
actions/create-github-app-token@d72941d797fd3113feb6b93fd0dec494b13a2547,actions,sha,true,action,3,3
./.github/actions/run-load-tests,,local,true,action,1,3
mikefarah/yq@8bf425b4d1344db7cd469a8d10a390876e0c77fd,mikefarah,sha,false,action,2,3
aws-actions/configure-aws-credentials@v1.7.0,aws-actions,tag,true,action,3,3
r-lib/actions/setup-r@v2,r-lib,tag,false,action,3,3
actions/upload-artifact@v3,actions,tag,true,action,3,3
actions/checkout@93cb6efe18208431cddfb8368fd83d5badbf9bfd,actions,sha,true,action,1,3
timerring/actions-gh-pages@v5.0.0,timerring,tag,false,action,3,3
mikepenz/release-changelog-builder-action@v5,mikepenz,tag,false,action,3,3
pfizer-analytics/cae-platinum/.github/actions/checkout_and_setup@feature/cae-5332-deployment,pfizer-analytics,branch,true,action,1,3
tj-actions/changed-files@v47.0.5,tj-actions,tag,false,action,1,3
aws-actions/configure-aws-credentials@v4.1.0,aws-actions,tag,true,action,1,3
github/codeql-action/init@v3,github,tag,true,action,3,3
github/codeql-action/analyze@v3,github,tag,true,action,3,3
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_publish-rspm.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,3,3
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_code-scan.yml@d06d20ed79126c45d2f84124e85c1d397007296b,pfizer-analytics,sha,true,reusable_workflow,1,3
snowflakedb/snowflake-cli-action@9227851a83e3f8f05d097aba2cca8235f180834e,snowflakedb,sha,false,action,1,3
docker/setup-buildx-action@4d04d5d9486b7bd6fa91e7baf45bbb4f8b9deedd,docker,sha,true,action,3,3
actions/upload-artifact@v5.0.0,actions,tag,true,action,2,3
actions/download-artifact@v5.0.0,actions,tag,true,action,2,3
Azure/functions-action@v1,Azure,tag,false,action,2,3
./.github/workflows/push-frontend.yml,,local,true,reusable_workflow,1,3
./.github/workflows/_ra_cd_template_sp_resource_cleanup.yml,,local,true,reusable_workflow,1,3
./.github/workflows/_ra_cd_template_sp_resource_excel.yml,,local,true,reusable_workflow,1,3
aws-actions/amazon-ecs-deploy-task-definition@v2,aws-actions,tag,true,action,2,3
databricks/setup-cli@2260866f83a41a2df55e1cfe7ffe038b78325bf6,databricks,sha,false,action,1,3
actions/checkout@v6.0.2,actions,tag,true,action,1,3
actions/download-artifact@95815c38cf2ff2164869cbab79da8d1f422bc89e,actions,sha,true,action,1,3
azure/webapps-deploy@02a81bead70021f5284939794bcec79c271ab383,azure,sha,true,action,1,3
Mattraks/delete-workflow-runs@v2,Mattraks,tag,false,action,2,2
azure/setup-helm@v4,azure,tag,true,action,1,2
actions/labeler@v5,actions,tag,true,action,2,2
actions/stale@v10,actions,tag,true,action,2,2
dorny/test-reporter@v1,dorny,tag,false,action,2,2
actions/download-artifact@v2,actions,tag,true,action,1,2
nrwl/nx-set-shas@v2,nrwl,tag,false,action,2,2
tvdias/github-tagger@v0.0.1,tvdias,tag,false,action,2,2
snyk/actions/python@master,snyk,branch,false,action,1,2
abronin/ecr-retag-action@v1,abronin,tag,false,action,1,2
docker/metadata-action@v5,docker,tag,true,action,2,2
./.github/workflows/_update-docs.yaml,,local,true,reusable_workflow,1,2
./.github/actions/run-unit-tests,,local,true,action,1,2
pfizer-analytics/docs/.github/actions/docs-trigger@main,pfizer-analytics,branch,true,action,2,2
pfizer-analytics/docs/.github/actions/docs-await@main,pfizer-analytics,branch,true,action,2,2
./.github/actions/set-oauth-credentials,,local,true,action,1,2
pfizer-analytics/test-automation/.github/actions/bp_test_runner@main,pfizer-analytics,branch,true,action,1,2
./.github/actions/publish-benchmark-data,,local,true,action,1,2
pfizer-analytics/vessel-rfc-automation/.github/actions/rfc-transition@main,pfizer-analytics,branch,true,action,1,2
./.github/workflows/_docs-dispatch.yaml,,local,true,reusable_workflow,1,2
softprops/action-gh-release@26994186c0ac3ef5cae75ac16aa32e8153525f77,softprops,sha,false,action,1,2
actions/download-artifact@d3f86a106a0bac45b974a628896c90dbdf5c8093,actions,sha,true,action,2,2
peter-evans/find-comment@3eae4d37986fb5a8592848f6a574fdf654e61f9e,peter-evans,sha,false,action,1,2
pfizer-analytics/vessel-rfc-automation/.github/actions/rfc-create@main,pfizer-analytics,branch,true,action,1,2
actions/Checkout@v4,actions,tag,true,action,1,2
pfizer-analytics/sdc-xwrdm-pharmsci-snowflake-cicd/actions/file-check@main,pfizer-analytics,branch,true,action,1,2
pfizer-analytics/cae-platinum/.github/actions/checkout_and_setup@c3852d4e01808a930a222b718a7e7ff3f8310051,pfizer-analytics,sha,true,action,1,2
pfizer-analytics/cae-platinum/.github/workflows/callable-promotion.yml@c3852d4e01808a930a222b718a7e7ff3f8310051,pfizer-analytics,sha,true,reusable_workflow,1,2
aws-actions/setup-sam@v1,aws-actions,tag,true,action,1,2
pfizer/vessel-platform/.github/workflows/vessel-guardrails.yaml@fix-vessel-guardrails,pfizer,branch,true,reusable_workflow,2,2
pfizer-analytics/osp-domain-config@main,pfizer-analytics,branch,true,action,2,2
aws-actions/aws-secretsmanager-get-secrets@v2,aws-actions,tag,true,action,1,2
pfizer-analytics/cae-platinum/.github/workflows/callable-promotion.yml@develop,pfizer-analytics,branch,true,reusable_workflow,1,2
actions/setup-node@v6,actions,tag,true,action,1,2
AButler/upload-release-assets@v2.0,AButler,tag,false,action,2,2
pfizer-analytics/vessel-platform/.github/workflows/cfn-lint.yaml@fix-vessel-guardrails,pfizer-analytics,branch,true,reusable_workflow,1,2
pfizer-analytics/sdc-xwrdm-iac-modules/.github/actions/semantic-version@docker-workflow,pfizer-analytics,branch,true,action,2,2
./.github/workflows/flake8.yml,,local,true,reusable_workflow,1,2
./.github/workflows/pylint.yml,,local,true,reusable_workflow,1,2
./.github/workflows/pytest.yml,,local,true,reusable_workflow,1,2
./.github/workflows/bandit.yml,,local,true,reusable_workflow,1,2
chartboost/ruff-action@v1,chartboost,tag,false,action,2,2
tj-actions/changed-files@2d756ea4c53f7f6b397767d8723b3a10a9f35bf2,tj-actions,sha,false,action,1,2
./.github/workflows/release.yml,,local,true,reusable_workflow,2,2
